,Title,Price,Stock,Category,Cover,UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Availability,Number of reviews
0,A Light in the Attic,51.77,In stock,Travel,media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,a897fe39b1053632,Books,£51.77,£51.77,£0.00,(22 available),0
1,Tipping the Velvet,53.74,In stock,Travel,media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,90fa61229261140a,Books,£53.74,£53.74,£0.00,(20 available),0
2,Soumission,50.10,In stock,Travel,media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,6957f44c3847a760,Books,£50.10,£50.10,£0.00,(20 available),0
3,Sharp Objects,47.82,In stock,Travel,media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,e00eb4fd7b871a48,Books,£47.82,£47.82,£0.00,(20 available),0
4,Sapiens: A Brief History of Humankind,54.23,In stock,Travel,media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,4165285e1663650f,Books,£54.23,£54.23,£0.00,(20 available),0
5,The Requiem Red,22.65,In stock,Travel,media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,f77dbf2323deb740,Books,£22.65,£22.65,£0.00,(19 available),0
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,Travel,media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,2597b5a345f45e1b,Books,£33.34,£33.34,£0.00,(19 available),0
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,Travel,media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,e72a5dfc7e9267b2,Books,£17.93,£17.93,£0.00,(19 available),0
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,In stock,Travel,media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,e10e1e165dc8be4a,Books,£22.60,£22.60,£0.00,(19 available),0
9,The Black Maria,52.15,In stock,Travel,media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,1dfe412b8ac00530,Books,£52.15,£52.15,£0.00,(19 available),0
10,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,Travel,media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,0312262ecafa5a40,Books,£13.99,£13.99,£0.00,(19 available),0
11,Shakespeare's Sonnets,20.66,In stock,Travel,media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,30a7f60cd76ca58c,Books,£20.66,£20.66,£0.00,(19 available),0
12,Set Me Free,17.46,In stock,Travel,media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,ce6396b0f23f6ecc,Books,£17.46,£17.46,£0.00,(19 available),0
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,Travel,media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,3b1c02bac2a429e6,Books,£52.29,£52.29,£0.00,(19 available),0
14,Rip it Up and Start Again,35.02,In stock,Travel,media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,a34ba96d4081e6a4,Books,£35.02,£35.02,£0.00,(19 available),0
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,Travel,media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,deda3e61b9514b83,Books,£57.25,£57.25,£0.00,(19 available),0
16,Olio,23.88,In stock,Travel,media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,feb7cc7701ecf901,Books,£23.88,£23.88,£0.00,(19 available),0
